ProdId,ProdName,ProdImgPath,ProdImgUrl,ProdPrice,ProdCategory1,ProdCategory2,ProdDescription,Hashtag
1370101,[FW원단] Wide String Cargo Slacks Pants Black Wide String Cargo Slacks Pants Black,,https://image.msscdn.net/images/goods_img/20200326/1370101/1370101_17007229844740_500.jpg,1370101,02,,배송도 빠르고 합리적인 가격에 원하는 카고바지 겟해서 좋아요. 키가 작아서 바지단에 스트링 있는 제품 원했는데 딱이예요. 허리는 편하게 고무줄에 끈이라 편하고 많이 올려 입으면 되네요. 음 허리단을 접어도 되겠군요. 오늘 입고 나갔는데 춥지 않았어요.자주 입게될것 같아요.상품후기 좋은 이유가 있었네요.,#조거팬츠 #와이드팬츠 #트레이닝팬츠 #밴딩팬츠 #카고팬츠 #와이드슬랙스 #카고조거팬츠 #고프코어
969208,테이퍼드핏 데님 팬츠 DP T908 DP T908 TaperedFit Denim Pants,,https://image.msscdn.net/images/goods_img/20190228/969208/969208_2_500.jpg,969208,02,,기장이랑 허리가 조금 커서 수선해서 입으면 이쁘게 입고 다닐 것 같습니다! 옷은 이뻐요,#데님 #와이드 #진 #청바지 #테이퍼드 #테이퍼드핏 #시그니처아이템 #데님팬츠맨
1301175,1/5 배송 [패키지] 제이윈 덤블 기모 세트 KHHD0748+HJLP2278 [Package] J Win Tumble Napping Set KHHD0748+HJLP2278,,https://image.msscdn.net/images/goods_img/20200212/1301175/1301175_2_500.jpg,1301175,02,,사이즈 군더더기 없이 딱 맞아요 팔길이 부터 착 맞는거 같네요,#세트 #세트업 #셋업 #트레이닝세트 #트레이닝셋업 #트레이닝팬츠 #패키지 #기모
1780712,리얼 와이드 치노팬츠(카키),,https://image.msscdn.net/images/goods_img/20210205/1780712/1780712_3_500.jpg,1780712,02,,괜찮네요 세일에서 샀는데 맘에 듭니다 이 가격이 이정도면 만족합니다,#코튼팬츠
3107234,코튼 밴딩 와이드 팬츠 (BEIGE) COTTON BANDING WIDE PANTS (BEIGE),,https://image.msscdn.net/images/goods_img/20230224/3107234/3107234_16786965599916_500.jpg,3107234,02,,"겨울에 입기는 조금 얇은거같습니다.
사이즈 및 기장 색상 전뷰 마음에들어요~",#팬츠 #코튼팬츠 #캐주얼팬츠 #와이드 #바지 #밴딩팬츠
2396607,세미 와이드 치노 팬츠 - 5 COLOR SEMI-WIDE CHINO PANTS - 5 COLOR,,https://image.msscdn.net/images/goods_img/20220303/2396607/2396607_5_500.jpg,2396607,02,,제가 딱 원하던 핏의 치노이고 가격도 아주 저렴해서 너무 마음에 듭니다 두께는 얇은 편이라서 겨울 빼고는 잘 입을거같아요 색은 연한 베이지 색입니다 다른 색도 추가 구매할거 같아요,#치노팬츠 #코튼팬츠 #면바지 #캐주얼팬츠 #면팬츠 #와이드팬츠 #바지
3316313,1/10 배송 옐로우 워싱 와이드 데님팬츠 인디고 SOLP2503 Yellow Washing Wide Denim Pants Indigo SOLP2503,,https://image.msscdn.net/images/goods_img/20230523/3316313/3316313_16848010772575_500.jpg,3316313,02,,엉덩이 라인이 살짝 크게 나온거 빼고는 다 만족합니다,#워시드 #데님팬츠 #남자청바지 #와이드팬츠 #와이드데님 #워싱진 #청바지 #데님팬츠맨 #데님
2869025,코듀로이 투웨이 밴딩 팬츠[아이보리] 코듀로이 투웨이 밴딩팬츠[아이보리],,https://image.msscdn.net/images/goods_img/20221017/2869025/2869025_2_500.jpg,2869025,02,,"진짜 저렴해서 블프 기간에 좋은 가격으로 구매했습니다 세탁 이후에도 원형을 유지하고 보풀도 없고 다리가 기신 분들은 조거 스타일로 입으실 생각하고 구매하셔야 할것 같습니다
아이보리색 니트에 입으면 깔끔하게 입으실 수 있습니다",#코듀로이 #코듀로이팬츠 #밴딩팬츠 #와이드핏 #코튼팬츠 #와이드팬츠 #코듀로이바지
3191908,Ripstop Utility Cargo Pants - Beige,,https://image.msscdn.net/images/goods_img/20230329/3191908/3191908_16823006507088_500.jpg,3191908,02,,"다른곳에서 후기 보고 구매한건데 정말 잘산거같아요
고무밴딩이라 착용감 좋고 발목부분에 스트링있어서 끌리지않게 조절도 가능하고 너무예뻐요",#와이드 #와이드팬츠 #카고팬츠 #코튼팬츠 #밴딩팬츠 #치노팬츠 #조거팬츠 #23S/S컬렉션
3448997,코듀로이 카고 파라슈트 팬츠 - 4 COLOR,,https://image.msscdn.net/images/goods_img/20230807/3448997/3448997_17013263695996_500.jpg,3448997,02,,"코코아색 구매후 마음에 들어 크림색 재구매 했습니다. 개인적으로 색감은 크림색이 더 마음에 듭니다.

코코아색은 실제로 받아보면 상세페이지 모델샷과는 좀 차이가 있는 느낌입니다. 참고하세요.

그리고 파라슈트 주름부분은 그렇게 눈에 확 띄지는 않고, 두께감도 그렇게 두꺼운 느낌은 아닙니다.

만약 마음에 드는 색감이 추가된다면 하나 더 살 의향이 있을정도로 마음에 듭니다.",#팬츠 #바지 #카고팬츠 #카고바지 #코듀로이 #파라슈트 #와이드팬츠
2105502,1/5 배송 980G 피그먼트 스웨트 팬츠-챠콜- 980g pigment sweat pants-chacoal-,,https://image.msscdn.net/images/goods_img/20210902/2105502/2105502_2_500.jpg,2105502,02,,딱좋네요 원단도 튼튼하고 이쁘게 잘입겠습니다,#조거팬츠 #트레이닝팬츠 #바지 #조거 #셋업 #깡스타일리스트PICK #피그먼트 #베이식 #그레이
2602315,원 턱 와이드 카고 팬츠 [블랙] ONE TUCK WIDE CARGO PANTS [BLACK],,https://image.msscdn.net/images/goods_img/20220608/2602315/2602315_1_500.jpg,2602315,02,,핏 너무 예뻐요 바지가 최고입니다 얼른 겟 하세요.,#바지 #면바지 #밀리터리 #주머니바지 #루즈핏
